노선명,시점부,종점부,구간길이(km),기점 방향 제한속도(kph),종점 방향 제한속도(kph)
호남선지선,논산JCT,벌곡휴게소 인근,23.9,100,100
호남선지선,벌곡휴게소 인근,계룡IC 인근,3.3,80,80
호남선지선,계룡IC 인근,회덕JCT,26.72,100,100
고창담양선,고창JCT,대덕JCT,42.3,100,100
대전남부순환선,서대전JCT,산내JCT,13.28,100,100
상주영천선,낙동JCT,영천JCT,94,100,100
수도권제2순환선(화도~양평),화도JCT,양평IC,17.6,100,100
수도권제2순환선(포천~화도),소흘JCT,화도JCT,28.7,100,100
수도권제2순환선(양주~포천),양주IC,소흘JCT,6,100,100
수도권제2순환선(파주~양주),법원IC,양주IC,19.6,100,100
수도권제2순환선(인천~김포),인천항고가교,원창지하차도,7.6,80,80
수도권제2순환선(인천~김포),원창지하차도,서김포통진,21.3,100,100
수도권제2순환선(봉담~동탄),서오산JCT,동탄JCT,9.26,100,100
수도권제2순환선(이천~오산),동탄JCT,곤지암JCT,31.3,100,100
중부내륙선지선,현풍JCT,금호JCT,30,100,100
광주외곽순환선,남광산IC,남장성JCT,9.7,100,100
중앙선지선,김해JCT,양산JCT,17.42,100,100
부산외곽순환선,진영JCT,기장JCT,48.8,100,100
대구외곽순환선,달서IC,동명동호JCT,20.3,80,80
대구외곽순환선,서변IC,상매JCT,12.1,80,80
