Category,stage1,stage1_acc,stage2,stage2_acc,stage3,stage3_acc,stage4,stage4_acc
A_easy_explicit_limit,4/18,0.2222222222222222,4/18,0.2222222222222222,6/18,0.3333333333333333,11/18,0.6111111111111112
B_medium_no_limit,2/18,0.1111111111111111,3/18,0.16666666666666666,3/18,0.16666666666666666,10/18,0.5555555555555556
C_easy_non_speed,14/14,1.0,14/14,1.0,14/14,1.0,14/14,1.0
D_hard_compound,4/14,0.2857142857142857,4/14,0.2857142857142857,4/14,0.2857142857142857,9/14,0.6428571428571429
E_hard_aggravating,6/14,0.42857142857142855,6/14,0.42857142857142855,6/14,0.42857142857142855,9/14,0.6428571428571429
F_medium_special,0/10,0.0,1/10,0.1,0/10,0.0,6/10,0.6
G_hard_cross_law,1/12,0.08333333333333333,1/12,0.08333333333333333,1/12,0.08333333333333333,5/12,0.4166666666666667
