운행일자,운수회사코드,자동차등록번호,사업자등록번호,차대번호,자동차유형코드,운행기록장치모델명,자료제출일시,접수번호,수집파일코드,시동ON일시,시동OFF일시,시작GPS X좌표,시작GPS Y좌표,종료GPS X좌표,종료GPS Y좌표,TRIP운행거리,누적운행거리,평균운행속도,최고속도,TRIP운행시간,장기운행유무,운행중정지건수,운행중정지시간,운행중정지비율,운행중주행시간,제동건수,제동시간,최고RPM,평균RPM,2000RPM초과시간,2500RPM초과시간,공회전건수,공회전시간,과속건수20Km초과,과속시간20Km초과,과속건수25Km초과,과속시간25Km초과,과속건수30Km초과,과속시간30Km초과,과속건수35Km초과,과속시간35Km초과,과속건수40Km초과,과속시간40Km초과,과속건수45Km초과,과속시간45Km초과,과속건수50Km초과,과속시간50Km초과,과속건수55Km초과,과속시간55Km초과,과속건수60Km초과,과속시간60Km초과,장기과속건수,장기과속시간,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수,중립기어건수,중립기어시간,운수회사소재지코드
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,872276168f515fe14fd714cdbb4e2422f096b2df18022e38986f62efd7c3bedb,***81*****,KMJTA18G,11,"DT-202,6.01.39",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79897,37.576733,126.79898,37.57672,248,4420,16.65,54,53632,1,701,13873,25.87,39759,0,0,1432,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,1,0,19,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,58d5bebb9b381dea969b4ba4c4bbec1ecbb1018224b9250b308cbe2e4a418976,***81*****,KMJTA18G,11,"DT-202,6.01.39",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.798935,37.57673,126.79906,37.57667,248,4573,16.82,57,53067,1,647,15165,28.58,37902,0,0,1540,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2,1,0,24,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,e39462d217e379b6390fabe78e0ff640cf08b5bdf7481870564e7c1eb346f86e,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.82485,37.55078,126.80274,37.566257,251,175005,16.49,58,54800,1,678,15516,28.31,39284,0,0,1760,757,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,2,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,d7596fee8300ce181f670b4fb2cfb074b1f36ff9088b43046d534ad19af4a43a,***81*****,KMJTA18G,11,"DT-202,6.01.21",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79941,37.57693,126.79831,37.576828,52,10450,16.44,52,11385,1,129,3187,27.99,8198,0,0,1638,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,134b6cdbb1619ca0637778bbf4f693652e6a911056ec6086aab14c4f5ffae47d,***81*****,KMJTA18G,11,"DT-202,6.01.39",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79916,37.57666,126.96305,37.524055,255,1413,16.11,60,56987,1,777,20687,36.3,36300,0,0,1632,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,21,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,673b49226f361835d61306970061bb712b07be98c913fb80f97b6620b178dd1a,***81*****,KMJTA18G,11,"DT-202,6.01.39",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.96695,37.528282,126.90547,37.52467,296,1663,16.86,56,63201,1,902,19829,31.37,43372,0,0,1629,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,1,25,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,79287b8177f3527bc0851a324cec7e9d4b729e7a87d0a90a3cadb89f99d63183,***81*****,KMJTA18G,11,"DT-202,5.07.17",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.97533,37.55349,126.935425,37.513268,245,193296,16.41,58,53763,1,747,18670,34.73,35093,0,0,2121,693,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,6,25,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,db780844c80c16ba1d7a966b6ba5abf9d22a1dd45eb91ec872b8e116a4905bc7,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.798805,37.57657,126.79891,37.576626,237,318767,15.86,62,53803,1,896,14643,27.22,39160,0,0,1720,871,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,9,0,0,4,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,22321ddaaf957572547be9a03eb59d2ef0e7bc1382ec4c031e70976a993c5c2c,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.91165,37.51778,126.79867,37.57651,179,340557,13.35,57,48282,1,647,19373,40.12,28909,0,0,1560,754,0,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,2,7,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,78fe1110db806a9f3bfc3385976054e24e2a677d37d21f2890de36875fc263ab,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,0,0,0,0,305,52724,17.99,63,61036,1,854,17670,28.95,43366,0,0,1680,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1150011000
