평가일자,업종코드,분기코드,계절코드,요일코드,과속건수20키로미터초과,장기과속건수,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수,위험운전행동건수,운행거리,생성일시
2020-07-04,17,3,2,7,1887,0,3733,1,1655,225,311,335,195,183,626,9151,19401,2023-08-01
2020-07-04,21,3,2,7,1436513,0,2318889,7673,190934,137326,175409,138154,20808,143997,103242,4672945,6842512,2023-08-01
2020-07-04,22,3,2,7,9191,0,7063,16,730,293,547,369,84,521,611,19425,36307,2023-08-01
2020-07-04,31,3,2,7,341238,3,620633,2597,280631,131064,57892,63321,14063,46102,158544,1716088,4325164,2023-08-01
2020-07-04,32,3,2,7,7239,0,15208,24,7047,2121,1354,1485,207,571,3562,38818,105890,2023-08-01
2020-07-04,41,3,2,7,2939,0,5408,2,2486,215,596,442,28,192,572,12880,12665,2023-08-01
2020-07-04,42,3,2,7,149,0,395,0,89,23,35,21,1,7,43,763,2761,2023-08-01
2020-07-05,11,3,2,1,353901,35,1004913,3239,729398,167920,307663,200067,81151,73099,407360,3328746,6288835,2023-08-01
2020-07-05,12,3,2,1,62591,0,18972,10,28015,10372,28341,18874,7096,2128,12327,188726,506611,2023-08-01
2020-07-05,13,3,2,1,22423,1,140406,75,64572,39357,32053,20084,6728,8466,28790,362955,569814,2023-08-01
2020-07-05,14,3,2,1,126003,4,36880,57,19419,6484,12776,12818,3669,2477,14094,234681,1764385,2023-08-01
2020-07-05,15,3,2,1,19333,0,3777,25,2622,75,2852,1368,1321,200,1726,33299,606069,2023-08-01
2020-07-05,16,3,2,1,143174,0,175285,81,41864,21715,16127,12857,2042,6407,20522,440074,1340314,2023-08-01
2020-07-05,17,3,2,1,1499,0,2560,4,1204,196,198,218,149,130,483,6641,12498,2023-08-01
2020-07-05,21,3,2,1,1477205,4,2110524,6821,190351,123137,173842,137202,19958,129988,93316,4462348,6200202,2023-08-01
2020-07-05,22,3,2,1,8127,0,5309,16,545,197,459,279,40,403,626,16001,32255,2023-08-01
2020-07-05,31,3,2,1,160389,2,233855,1126,121854,56621,22497,26381,6494,28775,71753,729747,1913724,2023-08-01
2020-07-05,32,3,2,1,3042,0,5191,5,3028,656,486,566,61,222,1549,14806,51077,2023-08-01
2020-07-05,41,3,2,1,2922,0,5012,5,2396,491,544,432,35,194,631,12662,11646,2023-08-01
2020-07-05,42,3,2,1,145,0,229,0,40,7,17,5,0,5,13,461,2098,2023-08-01
2020-07-06,11,3,2,2,397126,34,1268691,3626,978535,244722,370374,235522,99593,95882,498838,4192943,7770916,2023-08-01
2020-07-06,12,3,2,2,67015,0,24377,13,37982,14754,27228,18060,6571,2345,12281,210626,522662,2023-08-01
2020-07-06,13,3,2,2,31162,1,256290,182,116705,76745,46176,26329,8837,13478,40288,616193,801321,2023-08-01
2020-07-06,14,3,2,2,114834,2,40555,52,19880,7068,12531,11677,3773,2567,15016,227955,1707407,2023-08-01
2020-07-06,15,3,2,2,16552,0,3646,25,2632,49,2038,1169,968,194,1536,28809,548995,2023-08-01
2020-07-06,16,3,2,2,301930,0,777055,419,160306,80510,62116,42242,6371,26308,71198,1528455,2787259,2023-08-01
2020-07-06,17,3,2,2,3013,0,4358,2,1826,524,338,397,160,282,781,11681,24941,2023-08-01
2020-07-06,21,3,2,2,1083584,0,1877278,6872,162231,126427,142468,111662,17931,120802,92021,3741276,5703204,2023-08-01
2020-07-06,22,3,2,2,8264,0,5492,21,627,358,466,348,64,383,505,16528,36588,2023-08-01
2020-07-06,31,3,2,2,564612,9,996543,4708,481139,206794,90975,95351,21783,66143,271360,2799417,7477860,2023-08-01
2020-07-06,32,3,2,2,12174,0,32733,38,15383,2978,2210,2534,411,1158,7327,76946,181154,2023-08-01
2020-07-06,41,3,2,2,2089,0,5002,0,2067,576,483,379,32,232,764,11624,10679,2023-08-01
2020-07-06,42,3,2,2,2995,0,10811,0,2123,1068,877,627,48,206,658,19413,40155,2023-08-01
2020-07-07,11,3,2,3,390489,34,1250866,3296,966236,240706,366028,232407,99273,98349,503806,4151490,7746890,2023-08-01
2020-07-07,12,3,2,3,61919,0,21248,13,33954,12399,25549,16913,6022,2229,12286,192532,500703,2023-08-01
2020-07-07,13,3,2,3,30859,0,257490,192,112423,74428,45672,25957,9228,13890,40549,610688,804962,2023-08-01
2020-07-07,14,3,2,3,115663,1,40508,65,20807,6798,13078,11912,4073,2561,14914,230380,1719010,2023-08-01
2020-07-07,15,3,2,3,16076,0,4062,18,2527,63,2376,1065,1159,207,1609,29162,532855,2023-08-01
2020-07-07,16,3,2,3,284264,0,700536,423,146971,80469,57483,39186,5471,24460,64668,1403931,2554342,2023-08-01
2020-07-07,17,3,2,3,2235,0,3296,2,1350,208,281,351,144,166,572,8605,24887,2023-08-01
2020-07-07,21,3,2,3,1094784,2,1923101,6946,162459,124472,146401,114006,18463,126446,95484,3812564,5820438,2023-08-01
2020-07-07,22,3,2,3,9118,0,6547,22,677,312,474,346,45,533,846,18920,38469,2023-08-01
2020-07-07,31,3,2,3,571537,6,1017967,4314,486788,208622,91213,97352,22450,65655,274738,2840642,7847360,2023-08-01
2020-07-07,32,3,2,3,12948,0,35985,57,17953,3032,2357,2649,374,1350,8400,85105,199495,2023-08-01
2020-07-07,41,3,2,3,3188,0,6444,4,2789,303,637,458,23,297,747,14890,14261,2023-08-01
2020-07-07,42,3,2,3,3019,0,10993,3,2151,1252,906,656,52,195,713,19940,41188,2023-08-01
