운행기록데이터 바디 항목,일일주행거리(KM),누적운행거리(KM),정보발생일시,운행속도(KMH),RPM,브레이크신호,시작GPS(X좌표),시작GPS(Y좌표),GPS방위각,가속도 Vx,가속도 Vy,통신상태코드,운행지역코드
운행기록데이터 바디,7,97703,2025020608281000,11,649,1,126888688,37651104,155,-1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281100,9,650,1,126888704,37651096,157,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281200,8,649,1,126888720,37651092,148,0.0,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281300,5,649,1,126888728,37651092,148,1.8,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281400,2,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281500,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281600,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281700,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281800,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608281900,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282000,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282100,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282200,0,648,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282300,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282400,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282500,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282600,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282700,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282800,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608282900,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283000,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283100,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
