운행기록데이터 바디 항목,일일주행거리(KM),누적운행거리(KM),정보발생일시,운행속도(KMH),RPM,브레이크신호,시작GPS(X좌표),시작GPS(Y좌표),GPS방위각,가속도 Vx,가속도 Vy,통신상태코드,운행지역코드
운행기록데이터 바디,8,97703,2025020608311500,9,756,1,126889520,37648148,68,0.6,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608311600,9,631,1,126889560,37648168,63,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608311700,9,687,0,126889584,37648180,65,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608311800,8,677,0,126889616,37648212,36,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608311900,7,670,0,126889632,37648220,45,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312000,5,557,0,126889632,37648232,45,2.5,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608312100,4,705,0,126889632,37648232,45,1.8,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312200,4,964,0,126889632,37648232,45,0.6,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312300,4,1037,0,126889632,37648232,45,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312400,5,996,0,126889632,37648232,45,1.2,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608312500,5,879,0,126889632,37648232,45,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312600,6,757,0,126889696,37648276,65,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312700,6,667,0,126889696,37648276,65,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312800,5,678,0,126889728,37648288,68,0.0,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608312900,5,672,1,126889728,37648288,68,0.6,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313000,4,662,1,126889728,37648288,68,1.8,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313100,1,654,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313200,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313300,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313400,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313500,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313600,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313700,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313800,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608313900,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314000,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314100,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314200,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314300,0,645,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314400,0,651,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314500,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314600,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314700,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314800,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608314900,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315000,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315100,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315200,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315300,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315400,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315500,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315600,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315700,0,648,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315800,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608315900,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320000,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320100,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320200,0,649,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320300,0,650,1,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320400,0,850,0,126889728,37648288,68,2.5,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320500,0,825,0,126889728,37648288,68,2.5,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320600,1,1083,0,126889728,37648288,68,1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608320700,3,1080,0,126889728,37648288,68,1.2,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608320800,4,875,0,126889728,37648288,68,3.7,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608320900,5,956,0,126889920,37648260,65,3.7,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608321000,7,1360,0,126889944,37648272,65,2.5,0.0,0,4128111100
운행기록데이터 바디,8,97703,2025020608321100,9,1690,0,126889976,37648296,63,2.5,0.0,0,4128111100
운행기록데이터 바디,8,97703,2025020608321200,13,1980,0,126890024,37648324,62,3.1,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608321300,18,1707,0,126890072,37648352,62,1.8,-1.2,0,4128111200
운행기록데이터 바디,8,97703,2025020608321400,21,1162,0,126890144,37648380,61,2.5,-1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608321500,23,1150,0,126890208,37648404,66,2.5,-2.5,0,4128111200
운행기록데이터 바디,8,97703,2025020608321600,23,1204,0,126890264,37648428,70,2.5,-3.1,0,4128111200
운행기록데이터 바디,8,97703,2025020608321700,24,1280,0,126890328,37648452,68,2.5,-3.1,0,4128111200
운행기록데이터 바디,8,97703,2025020608321800,25,1255,0,126890400,37648480,65,1.2,-1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608321900,26,1179,1,126890480,37648504,64,-1.8,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608322000,26,1094,1,126890560,37648528,65,0.6,-1.2,0,4128111200
운행기록데이터 바디,8,97703,2025020608322100,24,1077,0,126890624,37648552,66,-1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608322200,23,1068,0,126890696,37648576,65,1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608322300,23,1039,1,126890752,37648600,64,-1.8,-1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608322400,23,984,1,126890816,37648624,65,1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608322500,22,986,0,126890880,37648648,65,1.8,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608322600,21,1039,0,126890928,37648672,63,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97703,2025020608322700,21,1117,0,126890992,37648688,63,1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608322800,22,1177,0,126891056,37648720,63,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97703,2025020608322900,23,1264,0,126891112,37648748,61,1.8,-1.2,0,4128111200
운행기록데이터 바디,8,97703,2025020608323000,25,1340,0,126891192,37648772,64,3.7,0.0,0,4128111200
운행기록데이터 바디,8,97703,2025020608323100,26,1437,0,126891264,37648804,64,-2.5,1.2,0,4128111200
운행기록데이터 바디,8,97703,2025020608323200,28,1604,0,126891352,37648840,62,3.1,-1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608323300,31,1680,0,126891440,37648868,66,-2.5,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608323400,33,1576,1,126891544,37648900,67,-1.8,-2.5,0,4128111200
운행기록데이터 바디,8,97704,2025020608323500,34,1405,1,126891640,37648932,66,-1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608323600,32,1229,1,126891728,37648960,67,-1.2,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608323700,29,1029,1,126891808,37648988,66,-3.1,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608323800,25,841,1,126891872,37649012,66,-1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97704,2025020608323900,21,766,1,126891912,37649028,70,-2.5,0.0,0,4128111100
운행기록데이터 바디,8,97704,2025020608324000,18,693,1,126891952,37649040,82,-1.2,1.8,0,4128111100
운행기록데이터 바디,8,97704,2025020608324100,15,660,0,126891984,37649032,111,-1.8,1.2,0,4128111100
운행기록데이터 바디,8,97704,2025020608324200,12,666,0,126891992,37649000,152,-0.6,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608324300,10,671,0,126892008,37648972,156,-1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608324400,9,947,0,126892016,37648944,159,2.5,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608324500,9,1219,0,126892024,37648924,158,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608324600,10,1533,0,126892032,37648908,155,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608324700,12,1685,0,126892040,37648876,151,1.8,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608324800,16,1285,0,126892064,37648844,152,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608324900,18,1090,0,126892080,37648816,151,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608325000,20,1276,0,126892104,37648776,152,3.1,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608325100,23,1420,0,126892128,37648736,147,1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608325200,27,1371,1,126892160,37648684,140,-1.8,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608325300,29,1192,1,126892208,37648644,137,-1.8,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608325400,28,959,1,126892256,37648600,148,3.7,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608325500,24,844,0,126892296,37648564,157,-4.9,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608325600,21,873,0,126892320,37648524,158,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608325700,19,848,1,126892352,37648484,151,-1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608325800,18,735,1,126892376,37648444,149,-2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608325900,17,680,1,126892408,37648404,156,-2.5,1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608330000,15,668,0,126892424,37648364,184,-2.5,1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608330100,13,716,0,126892424,37648344,196,-2.5,1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608330200,10,672,0,126892424,37648344,211,-1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608330300,9,667,0,126892408,37648344,238,1.8,1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608330400,8,655,0,126892392,37648340,212,1.2,1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608330500,8,620,0,126892384,37648328,194,1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608330600,8,647,0,126892376,37648320,222,1.8,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608330700,7,844,0,126892368,37648312,222,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608330800,7,1037,0,126892360,37648296,243,1.8,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608330900,9,1168,0,126892336,37648288,222,2.5,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608331000,10,1208,0,126892320,37648272,211,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608331100,12,1123,0,126892304,37648260,211,1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608331200,13,1013,0,126892296,37648236,221,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608331300,13,930,0,126892272,37648212,228,1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608331400,12,847,0,126892240,37648192,249,1.2,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608331500,11,790,0,126892208,37648160,239,1.8,-2.5,0,4128111200
운행기록데이터 바디,8,97704,2025020608331600,10,722,0,126892184,37648136,234,0.6,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608331700,9,667,0,126892176,37648112,220,0.0,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608331800,9,647,0,126892160,37648096,215,1.2,-2.5,0,4128111200
운행기록데이터 바디,8,97704,2025020608331900,8,629,0,126892152,37648084,198,0.0,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608332000,8,793,0,126892160,37648072,167,2.5,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608332100,7,995,1,126892128,37648064,167,1.2,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608332200,9,916,1,126892136,37648068,167,-1.8,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608332300,10,810,1,126892128,37648060,167,-1.8,-2.5,0,4128111200
운행기록데이터 바디,8,97704,2025020608332400,10,718,1,126892128,37648052,167,-1.2,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608332500,9,675,1,126892136,37648048,167,-1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608332600,6,669,1,126892128,37648048,167,0.6,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608332700,2,654,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608332800,0,646,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608332900,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333000,0,651,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333100,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333200,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333300,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333400,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333500,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333600,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333700,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333800,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608333900,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334000,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334100,0,651,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334200,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334300,0,648,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334400,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334500,0,650,1,126892128,37648048,167,1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334600,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334700,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334800,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608334900,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335000,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335100,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335200,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335300,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335400,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335500,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335600,0,651,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335700,0,652,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335800,0,650,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608335900,0,649,1,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608340000,0,637,0,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608340100,0,644,0,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608340200,0,652,0,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608340300,0,706,0,126892128,37648048,167,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608340400,0,996,0,126892128,37648048,167,1.8,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608340500,0,702,0,126892128,37648048,167,1.2,-2.5,0,4128111200
운행기록데이터 바디,8,97704,2025020608340600,0,790,0,126892128,37648048,167,2.5,-2.5,0,4128111200
운행기록데이터 바디,8,97704,2025020608340700,2,871,0,126892128,37648048,167,1.8,-3.1,0,4128111200
운행기록데이터 바디,8,97704,2025020608340800,3,1100,0,126892128,37648048,167,2.5,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608340900,6,1190,0,126892128,37648048,167,-1.8,-1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608341000,9,1101,0,126892128,37648048,167,-1.2,1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608341100,11,1012,0,126892256,37648096,60,0.0,1.2,0,4128111200
운행기록데이터 바디,8,97704,2025020608341200,12,991,0,126892288,37648100,64,2.5,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608341300,12,1041,0,126892312,37648112,64,1.8,-1.8,0,4128111200
운행기록데이터 바디,8,97704,2025020608341400,12,1003,1,126892376,37648024,64,-1.2,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608341500,12,838,1,126892416,37648020,65,-1.8,-0.6,0,4128111200
운행기록데이터 바디,8,97704,2025020608341600,11,754,1,126892448,37648032,54,-1.8,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608341700,10,691,1,126892472,37648040,43,-0.6,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608341800,8,668,1,126892472,37648048,33,-0.6,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608341900,6,661,1,126892472,37648048,33,-1.2,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342000,2,655,1,126892480,37648056,33,-0.6,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342100,0,652,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342200,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342300,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342400,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342500,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342600,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342700,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342800,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608342900,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343000,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343100,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343200,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343300,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343400,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343500,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343600,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343700,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343800,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608343900,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344000,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344100,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344200,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344300,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344400,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344500,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344600,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344700,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344800,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608344900,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345000,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345100,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345200,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345300,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345400,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345500,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345600,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345700,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345800,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608345900,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350000,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350100,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350200,0,648,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350300,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350400,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350500,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350600,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350700,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350800,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608350900,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351000,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351100,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351200,0,648,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351300,0,649,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351400,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351500,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351600,0,650,1,126892480,37648056,33,0.6,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351700,0,648,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351800,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608351900,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608352000,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608352100,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608352200,0,648,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608352300,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608352400,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608352500,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
운행기록데이터 바디,8,97704,2025020608352600,0,650,1,126892480,37648056,33,0.0,0.0,0,4128111200
